Product Code,Product Name,Pack Size,MRP,TP
1,ANDULANAAC-50 INJECTION,1 Vial,6300,1000
2,ANDULANAAT-50 INJECTION,1 Vial,9450,1000
3,AVIKEM INJECTION,1 Vial,3656,320
4,BIATAXIL INJECTION,1 Vial,4218,290
5,BIGCAL-Z TABLET,1 Vial,355,39
6,CARBOZET INJECTION (10 ML),1 Vial,4218,110
7,CARBOZET INJECTION (15 ML),1 Vial,5906,145
8,CELOTAXIL INJECTION (1.5 GM),1 Vial,540,42
9,CELOTAXIL INJECTION (3 GM),1 Vial,1088,72
10,CERATAXIL-B INJECTION,1 Vial,2531,110
11,CLINAAC-3 INJECTION,1 Vial,3375,120
12,CLINAAC-4.5 INJECTION,1 Vial,4218,165
13,CURCUGGEN SYRUP,1 Vial,2669,45
14,ESOLIN INJECTION,1 Vial,176,10
15,FENOGEN INFUSION,1 Vial,375,27
16,FERONAAT-200 TABLET,6 Tablet,656,158
17,FOGGEN (ORAL POWDER),8 GM Sachet,506,98
18,GLUTAKEM INFUSION (100 ML) ( Non PVC Bag),1 Vial,3375,304
19,GLUTAKEM INFUSION (50 ML) ( Non PVC Bag),1 Vial,2531,170
20,IMINAAC-ET INJECTION,1 Vial,1780,235
21,IMINAAT INJECTION (1GM),1 Vial,4218,350
22,KEMIPENEM INJECTION (500 MG),1 Vial,2375,370
23,MEROTAXIL 1 GM INJECTION,1 Vial,890,62
24,MEROTAXIL-500 INJECTION,1 Vial,751,38
25,MEROTAXIL INJECTION (2 GM),1 Vial,2531,145
26,MEROTAXIL- SB INJECTION (2 GM),1 Vial,1900,165
27,MEROTAXIL-DCB INJECTION (1 GM),1 Vial,1000,230
28,MEROTAXIL-DS INJECTION (1.5 GM),1 Vial,1663,145
29,MEROTAXIL-DT INJECTION (1.125 GM),1 Vial,4406,162
30,MEROTAXIL-TZ INJECTION (1.125 GM),1 Vial,4500,162
31,MEROTAXIL-S INJECTION (1.5 GM),1 Vial,1593,123
32,MINOLIN-200MG INJECTION,1 Vial,11061,410
33,MIRONAAT-B INJECTION (750 MG),1 Vial,1874,65
34,MONOPIME INJECTION (2 GM),1 Vial,1030,88
35,MONOPIME-SB INJECTION (3 GM),1 Vial,1687,95
36,MYCITEC-500 TABLET,6 Tablet,365,120
37,MYCITEC INFUSION (500 MG),1 Vial,1256,92
38,NUROTAXIL INJECTION (100 ML),1 Vial,562,25.75
39,PIROKEM 2 GM INJECTION,1 Vial,2531,145
40,PIROKEM-1 GM INJECTION,1 Vial,1312,110
41,PIROKEM-SB INJECTION (1.5 GM),1 Vial,2025,145
42,PIROKEM-SB INJECTION (2 GM),1 Vial,3375,165
43,PIROKEM-SB INJECTION (3 GM),1 Vial,2784,241
44,PIROOGEN 1.5 GM INJECTION,1 Vial,1215,145
45,PIROOGEN 3 GM INJECTION,1 Vial,2326,210
46,POLINAAT B- 7.5 IU INJECTION,1 Vial,5062,110
47,POLINACK-B INJECTION,1 Vial,2343,55
48,PRASSIL T INJECTION (4 GM),1 Vial,4218,350
49,PROGA,500 GM,2402,100
50,TECPIME INJECTION (1.5 GM),1 Vial,658,45
51,TECPIME INJECTION (3 GM),1 Vial,1190,84
52,TECPIME-SB INJECTION (1.5 GM),1 Vial,843,45
53,TECPIME-SB INJECTION (3 GM),1 Vial,1687,84
54,THIONAC-600 INJECTION,1 Vial,1687,145
55,THIONAC-1200 INJECTION,1 Vial,3656,315
56,TIGINAC-100 INJECTION,1 Vial,7499,245
57,TIGINAC-ED INJECTION (50 MG),1 Vial,4218,105
58,TYCOZEN-600 INJECTION,1 Vial,6300,382
59,TYCOZEN-DCB INJECTION (400 MG),1 Vial,4500,385
60,TYMOL INFUSION (100 ML),1 Vial,358,53
61,TYPAN INJECTION (20 MG),1 Vial,124,26
62,UBHAMOL INFUSION (100 ML),1 Vial,599,64
63,UBHATAM INJECTION,1 Vial,115,23
64,ZIDIGGEN INJECTION (1.5 GM),1 Vial,928,48
65,ZIDIGGEN INJECTION (3 GM),1 Vial,1670,86
66,ZIDIGGEN-AV INJECTION (1.125 GM),1 Vial,3375,210
67,ZOXIIMAC-S INJECTION (1.5 GM),1 Vial,1687,85
68,ZTOKEM INJECTION (1 GM),1 Vial,666,70
69,ZTOKEM INJECTION (2 GM),1 Vial,1312,132
70,SETRODEN ORAL SPRAY,1 Vial,750,54
71,AZOTAVIX INJECTION (2 Gm),1 Vial,7777,580
72,ZIDIGGEN-AV INJECTION (2.5 GM),1 Vial,7450,285
73,KEMICEF INJECTION,1 Vial,2500,110
